train-rmse,train-mae,valid-rmse,valid-mae,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
30534.686529957806,25449.681116288637,30167.136165177457,25017.242875786615,1719750001,,False,1,0fe75_00000,2024-06-30_12-20-01,2.7123608589172363,2.7123608589172363,22587,ip-10-0-1-209,10.0.1.209,2.7123608589172363,1
22246.710697492093,18510.9795296401,22116.469407045923,18367.85378825801,1719750001,,False,2,0fe75_00000,2024-06-30_12-20-01,0.003187894821166992,2.7155487537384033,22587,ip-10-0-1-209,10.0.1.209,2.7155487537384033,2
16590.73191978974,13730.45371753363,16782.91701927627,13839.818131435926,1719750001,,False,3,0fe75_00000,2024-06-30_12-20-01,0.006283760070800781,2.721832513809204,22587,ip-10-0-1-209,10.0.1.209,2.721832513809204,3
12783.232779242386,10440.9141183994,13274.05492211692,10728.007776744851,1719750001,,False,4,0fe75_00000,2024-06-30_12-20-01,0.002142190933227539,2.7239747047424316,22587,ip-10-0-1-209,10.0.1.209,2.7239747047424316,4
10288.84344466311,8243.958882638093,11116.744326397273,8712.19007437071,1719750001,,False,5,0fe75_00000,2024-06-30_12-20-01,0.003564119338989258,2.727538824081421,22587,ip-10-0-1-209,10.0.1.209,2.727538824081421,5
8687.427564354835,6785.491605028263,9819.791430072733,7420.642332308353,1719750001,,False,6,0fe75_00000,2024-06-30_12-20-01,0.004856586456298828,2.7323954105377197,22587,ip-10-0-1-209,10.0.1.209,2.7323954105377197,6
7672.7315746648965,5823.79006421723,9007.153220318974,6557.446948298055,1719750001,,False,7,0fe75_00000,2024-06-30_12-20-01,0.0034475326538085938,2.7358429431915283,22587,ip-10-0-1-209,10.0.1.209,2.7358429431915283,7
6982.162298197567,5195.8564168038065,8503.532324881733,6024.38443042048,1719750002,,False,8,0fe75_00000,2024-06-30_12-20-02,0.0022232532501220703,2.7380661964416504,22587,ip-10-0-1-209,10.0.1.209,2.7380661964416504,8
6529.6602063157825,4804.270146143389,8233.544589044091,5702.6823020952515,1719750002,,False,9,0fe75_00000,2024-06-30_12-20-02,0.0049860477447509766,2.7430522441864014,22587,ip-10-0-1-209,10.0.1.209,2.7430522441864014,9
6190.042620043797,4520.860535471523,8029.451978805417,5501.732904569508,1719750002,,False,10,0fe75_00000,2024-06-30_12-20-02,0.004366159439086914,2.7474184036254883,22587,ip-10-0-1-209,10.0.1.209,2.7474184036254883,10
6190.042620043797,4520.860535471523,8029.451978805417,5501.732904569508,1719750002,checkpoint_000000,False,11,0fe75_00000,2024-06-30_12-20-02,0.1894676685333252,2.9368860721588135,22587,ip-10-0-1-209,10.0.1.209,2.9368860721588135,11
