train-rmse,train-mae,valid-rmse,valid-mae,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
30534.686529957806,25449.681116288637,30167.136165177457,25017.242875786615,1719735677,,False,1,b64f7_00000,2024-06-30_08-21-17,2.679767370223999,2.679767370223999,13190,ip-10-0-1-209,10.0.1.209,2.679767370223999,1
22246.710697492093,18510.9795296401,22116.469407045923,18367.85378825801,1719735677,,False,2,b64f7_00000,2024-06-30_08-21-17,0.0051348209381103516,2.6849021911621094,13190,ip-10-0-1-209,10.0.1.209,2.6849021911621094,2
16590.73191978974,13730.45371753363,16782.91701927627,13839.818131435926,1719735677,,False,3,b64f7_00000,2024-06-30_08-21-17,0.0037016868591308594,2.6886038780212402,13190,ip-10-0-1-209,10.0.1.209,2.6886038780212402,3
12783.232779242386,10440.9141183994,13274.05492211692,10728.007776744851,1719735677,,False,4,b64f7_00000,2024-06-30_08-21-18,0.0023686885833740234,2.6909725666046143,13190,ip-10-0-1-209,10.0.1.209,2.6909725666046143,4
10288.84344466311,8243.958882638093,11116.744326397273,8712.19007437071,1719735678,,False,5,b64f7_00000,2024-06-30_08-21-18,0.003478527069091797,2.694451093673706,13190,ip-10-0-1-209,10.0.1.209,2.694451093673706,5
8687.427564354835,6785.491605028263,9819.791430072733,7420.642332308353,1719735678,,False,6,b64f7_00000,2024-06-30_08-21-18,0.0021486282348632812,2.6965997219085693,13190,ip-10-0-1-209,10.0.1.209,2.6965997219085693,6
7672.7315746648965,5823.79006421723,9007.153220318974,6557.446948298055,1719735678,,False,7,b64f7_00000,2024-06-30_08-21-18,0.0028231143951416016,2.699422836303711,13190,ip-10-0-1-209,10.0.1.209,2.699422836303711,7
6982.162298197567,5195.8564168038065,8503.532324881733,6024.38443042048,1719735678,,False,8,b64f7_00000,2024-06-30_08-21-18,0.0025281906127929688,2.701951026916504,13190,ip-10-0-1-209,10.0.1.209,2.701951026916504,8
6529.6602063157825,4804.270146143389,8233.544589044091,5702.6823020952515,1719735678,,False,9,b64f7_00000,2024-06-30_08-21-18,0.002750873565673828,2.7047019004821777,13190,ip-10-0-1-209,10.0.1.209,2.7047019004821777,9
6190.042620043797,4520.860535471523,8029.451978805417,5501.732904569508,1719735678,,False,10,b64f7_00000,2024-06-30_08-21-18,0.0019407272338867188,2.7066426277160645,13190,ip-10-0-1-209,10.0.1.209,2.7066426277160645,10
6190.042620043797,4520.860535471523,8029.451978805417,5501.732904569508,1719735678,checkpoint_000000,False,11,b64f7_00000,2024-06-30_08-21-18,0.22304654121398926,2.9296891689300537,13190,ip-10-0-1-209,10.0.1.209,2.9296891689300537,11
