train-rmse,train-mae,valid-rmse,valid-mae,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
30534.686529957806,25449.681116288637,30167.136165177457,25017.242875786615,1719744543,,False,1,59f09_00000,2024-06-30_10-49-03,2.711792469024658,2.711792469024658,19459,ip-10-0-1-209,10.0.1.209,2.711792469024658,1
22246.710697492093,18510.9795296401,22116.469407045923,18367.85378825801,1719744543,,False,2,59f09_00000,2024-06-30_10-49-03,0.004537820816040039,2.7163302898406982,19459,ip-10-0-1-209,10.0.1.209,2.7163302898406982,2
16590.73191978974,13730.45371753363,16782.91701927627,13839.818131435926,1719744543,,False,3,59f09_00000,2024-06-30_10-49-03,0.0018701553344726562,2.718200445175171,19459,ip-10-0-1-209,10.0.1.209,2.718200445175171,3
12783.232779242386,10440.9141183994,13274.05492211692,10728.007776744851,1719744543,,False,4,59f09_00000,2024-06-30_10-49-03,0.0042645931243896484,2.7224650382995605,19459,ip-10-0-1-209,10.0.1.209,2.7224650382995605,4
10288.84344466311,8243.958882638093,11116.744326397273,8712.19007437071,1719744543,,False,5,59f09_00000,2024-06-30_10-49-03,0.0026984214782714844,2.725163459777832,19459,ip-10-0-1-209,10.0.1.209,2.725163459777832,5
8687.427564354835,6785.491605028263,9819.791430072733,7420.642332308353,1719744543,,False,6,59f09_00000,2024-06-30_10-49-04,0.005385160446166992,2.730548620223999,19459,ip-10-0-1-209,10.0.1.209,2.730548620223999,6
7672.7315746648965,5823.79006421723,9007.153220318974,6557.446948298055,1719744544,,False,7,59f09_00000,2024-06-30_10-49-04,0.0039479732513427734,2.734496593475342,19459,ip-10-0-1-209,10.0.1.209,2.734496593475342,7
6982.162298197567,5195.8564168038065,8503.532324881733,6024.38443042048,1719744544,,False,8,59f09_00000,2024-06-30_10-49-04,0.001880645751953125,2.736377239227295,19459,ip-10-0-1-209,10.0.1.209,2.736377239227295,8
6529.6602063157825,4804.270146143389,8233.544589044091,5702.6823020952515,1719744544,,False,9,59f09_00000,2024-06-30_10-49-04,0.005671262741088867,2.742048501968384,19459,ip-10-0-1-209,10.0.1.209,2.742048501968384,9
6190.042620043797,4520.860535471523,8029.451978805417,5501.732904569508,1719744544,,False,10,59f09_00000,2024-06-30_10-49-04,0.003873586654663086,2.745922088623047,19459,ip-10-0-1-209,10.0.1.209,2.745922088623047,10
6190.042620043797,4520.860535471523,8029.451978805417,5501.732904569508,1719744544,checkpoint_000000,False,11,59f09_00000,2024-06-30_10-49-04,0.1809706687927246,2.9268927574157715,19459,ip-10-0-1-209,10.0.1.209,2.9268927574157715,11
