train-rmse,train-mae,valid-rmse,valid-mae,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
30534.686529957806,25449.681116288637,30167.136165177457,25017.242875786615,1719749856,,False,1,b9235_00000,2024-06-30_12-17-36,2.7011759281158447,2.7011759281158447,22208,ip-10-0-1-209,10.0.1.209,2.7011759281158447,1
22246.710697492093,18510.9795296401,22116.469407045923,18367.85378825801,1719749856,,False,2,b9235_00000,2024-06-30_12-17-36,0.0022170543670654297,2.70339298248291,22208,ip-10-0-1-209,10.0.1.209,2.70339298248291,2
16590.73191978974,13730.45371753363,16782.91701927627,13839.818131435926,1719749856,,False,3,b9235_00000,2024-06-30_12-17-36,0.003259420394897461,2.7066524028778076,22208,ip-10-0-1-209,10.0.1.209,2.7066524028778076,3
12783.232779242386,10440.9141183994,13274.05492211692,10728.007776744851,1719749856,,False,4,b9235_00000,2024-06-30_12-17-36,0.005562782287597656,2.7122151851654053,22208,ip-10-0-1-209,10.0.1.209,2.7122151851654053,4
10288.84344466311,8243.958882638093,11116.744326397273,8712.19007437071,1719749856,,False,5,b9235_00000,2024-06-30_12-17-36,0.0024385452270507812,2.714653730392456,22208,ip-10-0-1-209,10.0.1.209,2.714653730392456,5
8687.427564354835,6785.491605028263,9819.791430072733,7420.642332308353,1719749856,,False,6,b9235_00000,2024-06-30_12-17-36,0.0039386749267578125,2.718592405319214,22208,ip-10-0-1-209,10.0.1.209,2.718592405319214,6
7672.7315746648965,5823.79006421723,9007.153220318974,6557.446948298055,1719749856,,False,7,b9235_00000,2024-06-30_12-17-36,0.003615856170654297,2.722208261489868,22208,ip-10-0-1-209,10.0.1.209,2.722208261489868,7
6982.162298197567,5195.8564168038065,8503.532324881733,6024.38443042048,1719749856,,False,8,b9235_00000,2024-06-30_12-17-36,0.0022971630096435547,2.7245054244995117,22208,ip-10-0-1-209,10.0.1.209,2.7245054244995117,8
6529.6602063157825,4804.270146143389,8233.544589044091,5702.6823020952515,1719749856,,False,9,b9235_00000,2024-06-30_12-17-36,0.0027358531951904297,2.727241277694702,22208,ip-10-0-1-209,10.0.1.209,2.727241277694702,9
6190.042620043797,4520.860535471523,8029.451978805417,5501.732904569508,1719749856,,False,10,b9235_00000,2024-06-30_12-17-36,0.002496957778930664,2.729738235473633,22208,ip-10-0-1-209,10.0.1.209,2.729738235473633,10
6190.042620043797,4520.860535471523,8029.451978805417,5501.732904569508,1719749856,checkpoint_000000,False,11,b9235_00000,2024-06-30_12-17-36,0.23368501663208008,2.963423252105713,22208,ip-10-0-1-209,10.0.1.209,2.963423252105713,11
